variant,dataset_split,site,plots,predicted_instances,reference_instances,true_positives,false_positives,false_negatives,mean_plot_f1,mean_plot_precision,mean_plot_recall,micro_precision,micro_recall,micro_f1,mean_matched_iou,mean_unweighted_coverage,mean_weighted_coverage,paper_mean_f1,evaluation_protocol,matching_policy,result_status
published_pretrained,test,CULS,1,68,20,20,48,0,0.45454545454545453,0.29411764705882354,1.0,0.29411764705882354,1.0,0.45454545454545453,0.976602030863474,0.976602030863474,0.9801531031512648,0.45454545454545453,for_instance_pointwise_v1,maximum_cardinality_one_to_one,completed_aligned_pointwise_site_summary
published_pretrained,test,NIBIO,6,459,161,133,326,28,0.4262686942306885,0.28840417589052403,0.8381366955928359,0.289760348583878,0.8260869565217391,0.4290322580645161,0.8587615056225794,0.749408727084821,0.8630514035242718,0.4262686942306885,for_instance_pointwise_v1,maximum_cardinality_one_to_one,completed_aligned_pointwise_site_summary
published_pretrained,test,RMIT,1,88,64,38,50,26,0.5,0.4318181818181818,0.59375,0.4318181818181818,0.59375,0.5,0.8165401196293979,0.5501978686396829,0.7075342459455466,0.5,for_instance_pointwise_v1,maximum_cardinality_one_to_one,completed_aligned_pointwise_site_summary
published_pretrained,test,SCION,2,84,43,37,47,6,0.5856705762366139,0.44285714285714284,0.8644444444444443,0.44047619047619047,0.8604651162790697,0.5826771653543307,0.9009275764810685,0.8195468018384308,0.8868555582971005,0.5856705762366139,for_instance_pointwise_v1,maximum_cardinality_one_to_one,completed_aligned_pointwise_site_summary
published_pretrained,test,TUWIEN,1,90,35,19,71,16,0.304,0.2111111111111111,0.5428571428571428,0.2111111111111111,0.5428571428571428,0.304,0.7157372006258339,0.48519226851922803,0.5530108472650227,0.304,for_instance_pointwise_v1,maximum_cardinality_one_to_one,completed_aligned_pointwise_site_summary
fine_tuned_on_dev,test,CULS,1,61,20,20,41,0,0.49382716049382713,0.32786885245901637,1.0,0.32786885245901637,1.0,0.49382716049382713,0.9874771324959299,0.9874771324959299,0.9884123643523732,0.49382716049382713,for_instance_pointwise_v1,maximum_cardinality_one_to_one,completed_aligned_pointwise_site_summary
fine_tuned_on_dev,test,NIBIO,6,319,161,129,190,32,0.5355587555717329,0.4042784369436756,0.8072796480691218,0.4043887147335423,0.8012422360248447,0.5375,0.854806108122465,0.7068463169553937,0.8387015080534952,0.5355587555717329,for_instance_pointwise_v1,maximum_cardinality_one_to_one,completed_aligned_pointwise_site_summary
fine_tuned_on_dev,test,RMIT,1,87,64,36,51,28,0.4768211920529801,0.41379310344827586,0.5625,0.41379310344827586,0.5625,0.4768211920529801,0.7956887469952446,0.5175147982178152,0.6701373275718042,0.4768211920529801,for_instance_pointwise_v1,maximum_cardinality_one_to_one,completed_aligned_pointwise_site_summary
fine_tuned_on_dev,test,SCION,2,65,43,39,26,4,0.7206349206349205,0.5989278752436646,0.9044444444444444,0.6,0.9069767441860465,0.7222222222222222,0.9139943500562222,0.8514940242805613,0.9177021935856609,0.7206349206349205,for_instance_pointwise_v1,maximum_cardinality_one_to_one,completed_aligned_pointwise_site_summary
fine_tuned_on_dev,test,TUWIEN,1,36,35,13,23,22,0.3661971830985915,0.3611111111111111,0.37142857142857144,0.3611111111111111,0.37142857142857144,0.36619718309859156,0.7031941065901006,0.375954616327812,0.5098400666928764,0.3661971830985915,for_instance_pointwise_v1,maximum_cardinality_one_to_one,completed_aligned_pointwise_site_summary
