collection,plot_name,ref,pred,tp,fp,fn,precision,recall,f1,mean_matched_iou,unmatched_pred,unmatched_best_iou_lt_010,unmatched_best_iou_lt_025,unmatched_best_iou_lt_050,unmatched_size_median_points,unmatched_size_max_points,f1_iou_0.25,f1_iou_0.30,f1_iou_0.40,f1_iou_0.50,f1_iou_0.60
CULS,plot_2_annotated,20,53,20,33,0,0.377358,1.0,0.547945,0.947627,33,33,33,33,40733,88286,0.547945,0.547945,0.547945,0.547945,0.547945
NIBIO,plot_17_annotated,30,69,26,43,4,0.376812,0.866667,0.525253,0.887818,43,41,42,43,59425,291594,0.545455,0.545455,0.545455,0.525253,0.525253
NIBIO,plot_18_annotated,27,55,22,33,5,0.4,0.814815,0.536585,0.857517,33,32,32,33,92619,300426,0.560976,0.560976,0.536585,0.536585,0.512195
NIBIO,plot_1_annotated,37,54,20,34,17,0.37037,0.540541,0.43956,0.817987,34,32,32,34,30398.5,267603,0.483516,0.483516,0.461538,0.43956,0.43956
NIBIO,plot_22_annotated,20,48,17,31,3,0.354167,0.85,0.5,0.87902,31,31,31,31,97213,286603,0.5,0.5,0.5,0.5,0.5
NIBIO,plot_23_annotated,28,55,19,36,9,0.345455,0.678571,0.457831,0.812179,36,32,35,36,64514.5,422938,0.481928,0.481928,0.481928,0.457831,0.433735
NIBIO,plot_5_annotated,19,34,11,23,8,0.323529,0.578947,0.415094,0.782586,23,22,23,23,54596,213021,0.415094,0.415094,0.415094,0.415094,0.377358
RMIT,test,64,58,21,37,43,0.362069,0.328125,0.344262,0.778265,37,24,26,37,2348,10537,0.508197,0.508197,0.459016,0.344262,0.295082
SCION,plot_31_annotated,25,37,21,16,4,0.567568,0.84,0.677419,0.910722,16,14,15,16,46548.0,94820,0.709677,0.709677,0.709677,0.677419,0.677419
SCION,plot_61_annotated,18,28,14,14,4,0.5,0.777778,0.608696,0.913818,14,12,13,14,80214.0,219678,0.652174,0.608696,0.608696,0.608696,0.608696
TUWIEN,test,35,36,8,28,27,0.222222,0.228571,0.225352,0.641687,28,21,22,28,23291.5,121894,0.366197,0.309859,0.253521,0.225352,0.112676
